,,,0.502,50,0,
,,,0.504,50,0,
,,,0.506,50,0,
,,,0.508,49.6,-1.25,
,,,0.51,50.4,1.25,
,,,0.512,50,0,
,,,0.514,50.4,1.25,
,,,0.516,50,0,
,,,0.518,49.6,-1.25,
,,,0.52,50,0,
,,,0.522,50,0,
,,,0.524,50,0,
,,,0.526,50,0,
,,,0.528,50,0,
,,,0.53,50,0,
,,,0.532,50,0,
,,,0.534,50,0,
,,,0.536,50,0,
,,,0.538,49.6,-1.25,
,,,0.54,50,0,
,,,0.542,50,0,
,,,0.544,50,0,
,,,0.546,50,0,
,,,0.548,50,0,
,,,0.55,50,0,
,,,0.552,49.6,-1.25,
,,,0.554,50,0,
,,,0.556,50,0,
,,,0.558,50,0,
,,,0.56,50,0,
,,,0.562,50,0,
,,,0.564,49.6,-1.25,
,,,0.566,50,0,
,,,0.568,50,0,
,,,0.57,50,0,
,,,0.572,50,0,
,,,0.574,49.6,-1.25,
,,,0.576,50,0,
,,,0.578,50.4,1.25,
,,,0.58,50,0,
,,,0.582,49.6,-1.25,
,,,0.584,50,0,
,,,0.586,50,0,
,,,0.588,50,0,
,,,0.59,50,0,
,,,0.592,50,0,
,,,0.594,50,0,
,,,0.596,50.4,1.25,
,,,0.598,50,0,
,,,0.6,50.4,1.25,
,,,0.602,49.6,-1.25,
,,,0.604,50,0,
,,,0.606,50,0,
,,,0.608,50,0,
,,,0.61,50,0,
,,,0.612,50,0,
,,,0.614,50,0,
,,,0.616,49.6,-1.25,
,,,0.618,50.4,1.25,
,,,0.62,50,0,
,,,0.622,50,0,
,,,0.624,50,0,
,,,0.626,50,0,
,,,0.628,50,0,
,,,0.63,50,0,
,,,0.632,49.6,-1.25,
,,,0.634,50,0,
,,,0.636,50,0,
,,,0.638,50,0,
,,,0.64,50,0,
,,,0.642,49.6,-1.25,
,,,0.644,50,0,
,,,0.646,50,0,
,,,0.648,50,0,
,,,0.65,50,0,
,,,0.652,49.6,-1.25,
,,,0.654,50,0,
,,,0.656,50,0,
,,,0.658,50,0,
,,,0.66,50,0,
,,,0.662,50,0,
,,,0.664,49.6,-1.25,
,,,0.666,50,0,
,,,0.668,50.4,1.25,
,,,0.67,50,0,
,,,0.672,50,0,
,,,0.674,50,0,
,,,0.676,50,0,
,,,0.678,50,0,
,,,0.68,50,0,
,,,0.682,50,0,
,,,0.684,50,0,
,,,0.686,49.6,-1.25,
,,,0.688,50,0,
,,,0.69,50,0,
,,,0.692,50.4,1.25,
,,,0.694,50,0,
,,,0.696,50,0,
,,,0.698,50,0,
,,,0.7,50,0,
,,,0.702,50,0,
,,,0.704,50,0,
,,,0.706,49.6,-1.25,
,,,0.708,50,0,
,,,0.71,50,0,
,,,0.712,50.4,1.25,
,,,0.714,50.4,1.25,
,,,0.716,49.6,-1.25,
,,,0.718,50,0,
,,,0.72,50,0,
,,,0.722,50,0,
,,,0.724,50,0,
,,,0.726,50,0,
,,,0.728,50,0,
,,,0.73,50,0,
,,,0.732,50.4,1.25,
,,,0.734,50.4,1.25,
,,,0.736,50,0,
,,,0.738,50,0,
,,,0.74,50.4,1.25,
,,,0.742,50,0,
,,,0.744,50,0,
,,,0.746,50,0,
,,,0.748,50,0,
,,,0.75,50,0,
,,,0.752,50,0,
,,,0.754,50,0,
,,,0.756,49.6,-1.25,
,,,0.758,50.4,1.25,
,,,0.76,50,0,
,,,0.762,50.4,1.25,
,,,0.764,50,0,
,,,0.766,50,0,
,,,0.768,50.4,1.25,
,,,0.77,50,0,
,,,0.772,50,0,
,,,0.774,50,0,
,,,0.776,49.6,-1.25,
,,,0.778,50,0,
,,,0.78,50,0,
,,,0.782,50,0,
,,,0.784,50,0,
,,,0.786,49.6,-1.25,
,,,0.788,50.4,1.25,
,,,0.79,49.6,-1.25,
,,,0.792,50.4,1.25,
,,,0.794,50,0,
,,,0.796,50.4,1.25,
,,,0.798,50,0,
,,,0.8,50,0,
,,,0.802,49.6,-1.25,
,,,0.804,50,0,
,,,0.806,50.4,1.25,
,,,0.808,50,0,
,,,0.81,49.6,-1.25,
,,,0.812,49.6,-1.25,
,,,0.814,49.6,-1.25,
,,,0.816,50,0,
,,,0.818,50,0,
,,,0.82,49.6,-1.25,
,,,0.822,50,0,
,,,0.824,49.6,-1.25,
,,,0.826,50,0,
,,,0.828,50,0,
,,,0.83,49.6,-1.25,
,,,0.832,50,0,
,,,0.834,50,0,
,,,0.836,50,0,
,,,0.838,50,0,
,,,0.84,50,0,
,,,0.842,50,0,
,,,0.844,49.6,-1.25,
,,,0.846,50,0,
,,,0.848,50,0,
,,,0.85,50,0,
,,,0.852,50.4,1.25,
,,,0.854,50,0,
,,,0.856,50,0,
,,,0.858,50,0,
,,,0.86,50,0,
,,,0.862,50,0,
,,,0.864,49.6,-1.25,
,,,0.866,50,0,
,,,0.868,50,0,
,,,0.87,50,0,
,,,0.872,50,0,
,,,0.874,50,0,
,,,0.876,50,0,
,,,0.878,50,0,
,,,0.88,50,0,
,,,0.882,50,0,
,,,0.884,50.4,1.25,
,,,0.886,50,0,
,,,0.888,50.4,1.25,
,,,0.89,50,0,
,,,0.892,50,0,
,,,0.894,49.6,-1.25,
,,,0.896,50.4,1.25,
,,,0.898,50,0,
,,,0.9,50,0,
,,,0.902,50,0,
,,,0.904,49.6,-1.25,
,,,0.906,50.4,1.25,
,,,0.908,50,0,
,,,0.91,50.4,1.25,
,,,0.912,50,0,
,,,0.914,49.6,-1.25,
,,,0.916,50,0,
,,,0.918,50.4,1.25,
,,,0.92,50.4,1.25,
,,,0.922,50,0,
,,,0.924,49.6,-1.25,
,,,0.926,50.4,1.25,
,,,0.928,50,0,
,,,0.93,50.4,1.25,
,,,0.932,50.4,1.25,
,,,0.934,50,0,
,,,0.936,50,0,
,,,0.938,50,0,
,,,0.94,50.8,2.5,
,,,0.942,50.4,1.25,
,,,0.944,54.8,15,
,,,0.946,62.8,40,
,,,0.948,69.2,60,
,,,0.95,75.6,80,
,,,0.952,81.2,97.5,
,,,0.954,85.6,111.25,
,,,0.956,85.2,110,
,,,0.958,89.2,122.5,
,,,0.96,92,131.25,
,,,0.962,93.6,136.25,
,,,0.964,96.4,145,
,,,0.966,97.6,148.75,
,,,0.968,99.6,155,
,,,0.97,99.2,153.75,
,,,0.972,99.6,155,
,,,0.974,100.4,157.5,
,,,0.976,98,150,
,,,0.978,92.4,132.5,
,,,0.98,85.2,110,
,,,0.982,76.8,83.75,
,,,0.984,76.8,83.75,
,,,0.986,70.4,63.75,
,,,0.988,67.6,55,
,,,0.99,69.2,60,
,,,0.992,73.6,73.75,
,,,0.994,78.4,88.75,
,,,0.996,83.2,103.75,
,,,0.998,82.8,102.5,
,,,1,87.2,116.25,
,,,1.002,90.8,127.5,
,,,1.004,92.4,132.5,
,,,1.006,94.4,138.75,
,,,1.008,94.8,140,
,,,1.01,92,131.25,
,,,1.012,91.6,130,
,,,1.014,85.6,111.25,
,,,1.016,78.4,88.75,
,,,1.018,71.6,67.5,
,,,1.02,68.8,58.75,
,,,1.022,69.2,60,
,,,1.024,72.4,70,
,,,1.026,72.8,71.25,
,,,1.028,77.2,85,
,,,1.03,78.4,88.75,
,,,1.032,85.2,110,
,,,1.034,89.2,122.5,
,,,1.036,92.4,132.5,
,,,1.038,94.4,138.75,
,,,1.04,93.6,136.25,
,,,1.042,94.4,138.75,
,,,1.044,91.2,128.75,
,,,1.046,86,112.5,
,,,1.048,80,93.75,
,,,1.05,73.6,73.75,
